epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.8211,0.88792,0.96481,0.90368,0.77151,0.88199,0.78252,0.59724,0.80512,1.03178,0.86248,0.00065641,0.00065641,0.00065641
2,99.7222,0.78552,0.61567,0.89757,0.99407,0.96894,0.99411,0.84903,0.61852,0.48807,0.8647,0.00129688,0.00129688,0.00129688
3,148.792,0.79302,0.58997,0.88934,0.98743,0.97546,0.99201,0.82824,0.64635,0.45188,0.86215,0.00191095,0.00191095,0.00191095
4,197.511,0.76919,0.53037,0.88769,0.98745,0.97716,0.99264,0.84456,0.6012,0.43018,0.85489,0.0018812,0.0018812,0.0018812
5,246.748,0.70447,0.50382,0.87211,0.9937,0.97967,0.99403,0.8374,0.65646,0.43343,0.85995,0.0018416,0.0018416,0.0018416
6,295.808,0.73522,0.4948,0.87272,0.98775,0.98137,0.9943,0.845,0.61251,0.39173,0.85547,0.001802,0.001802,0.001802
7,344.493,0.69788,0.46352,0.87426,0.98425,0.97516,0.99422,0.84841,0.58235,0.36667,0.84908,0.0017624,0.0017624,0.0017624
8,393.202,0.6555,0.43401,0.85599,0.97884,0.98137,0.99395,0.84872,0.58506,0.36195,0.84881,0.0017228,0.0017228,0.0017228
9,441.884,0.66121,0.42723,0.85287,0.97987,0.98137,0.99397,0.87419,0.55772,0.34707,0.8424,0.0016832,0.0016832,0.0016832
10,488.233,0.67359,0.42148,0.85844,0.9784,0.98137,0.99356,0.85328,0.58316,0.35531,0.84378,0.0016436,0.0016436,0.0016436
11,504.42,0.64892,0.41543,0.85008,0.96788,0.99379,0.99394,0.86205,0.56819,0.35014,0.83818,0.001604,0.001604,0.001604
12,522.722,0.61216,0.39452,0.84896,0.97552,0.99014,0.994,0.86942,0.54623,0.33681,0.83434,0.0015644,0.0015644,0.0015644
13,539.746,0.61292,0.38974,0.83453,0.9801,0.97516,0.99319,0.86389,0.57887,0.3598,0.84327,0.0015248,0.0015248,0.0015248
14,557.809,0.63335,0.39357,0.85152,0.97988,0.98137,0.99334,0.86575,0.55813,0.34111,0.83914,0.0014852,0.0014852,0.0014852
15,574.665,0.60721,0.38316,0.85823,0.97543,0.98629,0.99403,0.87287,0.51892,0.31989,0.83612,0.0014456,0.0014456,0.0014456
16,590.991,0.57406,0.36482,0.84244,0.96721,0.98137,0.99328,0.87634,0.52695,0.32803,0.83233,0.001406,0.001406,0.001406
17,607.134,0.58005,0.37164,0.84385,0.97558,0.99265,0.994,0.87749,0.51587,0.32124,0.83311,0.0013664,0.0013664,0.0013664
18,622.835,0.59541,0.37547,0.84423,0.97179,0.98758,0.99369,0.87074,0.54237,0.33259,0.83775,0.0013268,0.0013268,0.0013268
19,638.555,0.59376,0.37306,0.84182,0.96939,0.98758,0.99365,0.87735,0.54409,0.33099,0.83912,0.0012872,0.0012872,0.0012872
20,654.432,0.59362,0.38142,0.83676,0.9937,0.98036,0.99422,0.87352,0.52631,0.32559,0.83607,0.0012476,0.0012476,0.0012476
